feature,importance
conversion_efficiency,0.720968983349251
website_engagement,0.014726932931289993
TimeOnSite,0.014635805709462013
pages_time_interaction,0.01381656846234066
EmailOpens,0.01378685055110808
WebsiteVisits,0.013550848039096347
PreviousPurchases,0.01291500915473038
EmailClicks,0.012727147825410554
customer_lifetime_value,0.012035931725124847
ctr_cvr_interaction,0.01194050703364915
efficiency_score,0.011652503871273461
PagesPerVisit,0.011577526070922193
AdSpend_log,0.010804048064946696
LoyaltyPoints,0.010754681570823495
ClickThroughRate,0.010408567623237783
AdSpend,0.01038335662259603
LoyaltyPoints_log,0.009993586361666123
ConversionRate,0.00933755155450737
channel_spend_ratio,0.007096857824025007
spend_income_ratio,0.0069448527205291585
cost_per_conversion,0.006715539811395128
engagement_score,0.006016067804342146
roas_estimated,0.005857664629163389
Age,0.005704499266425936
SocialShares,0.005554992634617708
Income_log,0.005523854775553691
Income,0.00501924341494299
loyalty_level_encoded,0.0034322485189747947
CampaignType_Conversion,0.003083079419403229
age_group_encoded,0.0018994824546462435
CampaignType_Consideration,0.0013884556186868067
CampaignType_Awareness,0.0013821404430962372
income_quartile_encoded,0.0013795860203883118
CampaignChannel_Social Media,0.0012475317181380474
CampaignType_Retention,0.0010747496698609936
Gender_Female,0.0009372079817413767
CampaignChannel_SEO,0.0009019599811815774
CampaignChannel_Email,0.0008662105854720627
Gender_Male,0.0007363768807897272
CampaignChannel_PPC,0.0006946527303600532
CampaignChannel_Referral,0.0005263385748293061
