feature,importance
PagesPerVisit,0.10513624394144656
TimeOnSite,0.09857051238037005
ClickThroughRate,0.09777848947737929
AdSpend,0.09675438540634804
LoyaltyPoints,0.09292365337586049
WebsiteVisits,0.07589453068696578
EmailOpens,0.0684793983873935
Income,0.06699724146555382
PreviousPurchases,0.06351995488068936
SocialShares,0.05859166374273349
EmailClicks,0.05833341621338959
Age,0.054249054905411355
CampaignType,0.02827934796245127
CampaignChannel,0.025576094942824805
Gender,0.008916012231182754
AdvertisingPlatform,0.0
AdvertisingTool,0.0
